GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022-12-22,22200477,1610612740,1610612759,126,484,926,382,25,46,117,478,815,321,23,44,1
2022-12-22,22200478,1610612762,1610612764,120,488,952,457,16,40,112,561,765,333,20,37,1
2022-12-21,22200466,1610612739,1610612749,114,482,786,313,22,37,106,0.47,682,433,20,46,1
2022-12-21,22200467,1610612755,1610612765,113,441,909,297,27,49,93,392,735,261,15,46,1
2022-12-21,22200468,1610612737,1610612741,108,429,1.0,378,22,47,110,0.5,773,292,20,47,0
2022-12-21,22200469,1610612738,1610612754,112,386,0.84,317,26,62,117,469,778,462,27,47,0
2022-12-21,22200470,1610612751,1610612744,143,643,875,636,42,32,113,494,0.76,364,32,36,1
2022-12-21,22200471,1610612752,1610612761,106,553,611,423,25,38,113,447,909,265,17,38,0
2022-12-21,22200472,1610612745,1610612753,110,466,647,395,22,49,116,451,697,297,19,45,0
2022-12-21,22200473,1610612750,1610612742,99,494,0.7,267,23,39,104,453,852,333,17,39,0
2022-12-21,22200474,1610612760,1610612757,101,468,0.84,333,19,37,98,494,667,389,29,36,1
2022-12-21,22200475,1610612758,1610612747,134,505,0.75,362,29,46,120,0.5,833,458,25,39,1
2022-12-21,22200476,1610612746,1610612766,126,506,913,469,29,48,105,402,759,0.29,25,40,1
2022-12-20,22200461,1610612765,1610612762,111,506,741,0.36,22,43,126,505,632,435,27,43,0
2022-12-20,22200462,1610612748,1610612741,103,469,706,341,26,35,113,548,833,419,24,39,0
2022-12-20,22200463,1610612752,1610612744,132,517,781,425,27,47,94,473,923,343,23,29,1
2022-12-20,22200464,1610612756,1610612764,110,461,789,406,26,44,113,475,703,407,22,41,0
2022-12-20,22200465,1610612743,1610612763,105,449,0.6,0.37,28,48,91,444,667,192,25,42,1
2022-12-19,22200452,1610612739,1610612762,122,614,808,577,24,45,99,387,739,294,19,35,1
2022-12-19,22200453,1610612755,1610612761,104,0.4,926,357,22,41,101,0.42,0.8,275,24,50,1
2022-12-19,22200454,1610612737,1610612753,126,511,0.9,375,29,41,125,474,0.92,353,29,45,1
2022-12-19,22200455,1610612745,1610612759,105,426,645,208,23,41,124,554,789,0.5,30,46,0
2022-12-19,22200456,1610612750,1610612742,116,472,833,387,19,44,106,408,806,422,23,42,1
2022-12-19,22200457,1610612740,1610612749,119,424,708,0.4,30,44,128,556,806,325,26,44,0
2022-12-19,22200458,1610612760,1610612757,123,455,865,355,20,39,121,0.5,0.81,432,26,45,1
2022-12-19,22200459,1610612756,1610612747,130,495,0.75,513,21,51,104,448,824,429,13,38,1
2022-12-19,22200460,1610612758,1610612766,119,474,548,364,23,42,125,516,739,323,26,56,0
2022-12-18,22200445,1610612738,1610612753,92,348,857,255,22,54,95,384,895,414,20,46,0
2022-12-18,22200446,1610612754,1610612752,106,433,652,342,20,44,109,0.47,767,308,13,49,0
2022-12-18,22200447,1610612765,1610612751,121,477,853,267,20,41,124,0.55,913,517,26,35,0
2022-12-18,22200448,1610612761,1610612744,110,421,773,394,21,43,126,531,846,462,31,41,0
2022-12-18,22200449,1610612750,1610612741,150,655,813,535,38,39,126,523,0.75,421,31,30,1
2022-12-18,22200450,1610612743,1610612766,119,457,647,333,33,55,115,427,913,316,26,48,1
2022-12-18,22200451,1610612747,1610612764,119,0.5,727,407,29,43,117,463,792,256,24,48,1
2022-12-17,22200438,1610612746,1610612764,102,0.43,615,414,19,49,93,429,923,0.36,20,42,1
2022-12-17,22200439,1610612759,1610612748,101,429,758,0.37,29,38,111,512,696,367,25,40,0
2022-12-17,22200440,1610612739,1610612742,100,426,591,194,23,51,99,409,632,306,19,45,1
2022-12-17,22200441,1610612745,1610612757,95,0.4,0.69,103,19,51,107,471,737,361,20,36,0
2022-12-17,22200442,1610612749,1610612762,123,533,818,474,30,54,97,453,0.5,0.34,24,29,1
2022-12-17,22200443,1610612760,1610612763,115,413,645,422,29,53,109,378,784,267,15,53,1
2022-12-17,22200444,1610612756,1610612740,118,0.47,714,366,23,35,114,584,769,467,27,36,1
2022-12-16,22200428,1610612766,1610612737,106,398,684,349,26,43,125,547,824,517,25,41,0
2022-12-16,22200429,1610612765,1610612758,113,459,806,345,22,46,122,524,828,387,30,33,0
2022-12-16,22200430,1610612738,1610612753,109,417,824,239,17,38,117,462,857,273,19,53,0
2022-12-16,22200431,1610612739,1610612754,118,0.5,875,452,23,34,112,525,895,306,34,33,1
2022-12-16,22200432,1610612755,1610612744,118,459,806,395,23,49,106,415,846,395,31,48,1
2022-12-16,22200433,1610612761,1610612751,116,488,862,375,17,32,119,605,783,346,22,37,0
2022-12-16,22200434,1610612741,1610612752,91,468,875,0.4,26,39,114,402,719,386,19,50,0
2022-12-16,22200435,1610612760,1610612750,110,466,0.81,297,29,45,112,494,0.56,0.48,23,43,0
2022-12-16,22200436,1610612742,1610612757,130,556,846,419,25,40,110,438,0.76,351,21,42,1
2022-12-16,22200437,1610612747,1610612743,126,527,0.75,364,29,45,108,481,0.75,333,25,39,1
2022-12-15,22200424,1610612745,1610612748,108,468,647,273,22,51,111,443,739,0.34,21,40,0
2022-12-15,22200425,1610612763,1610612749,142,549,783,375,30,56,101,372,667,0.26,22,39,1
2022-12-15,22200426,1610612762,1610612740,132,457,811,383,24,44,129,475,821,0.4,24,49,1
2022-12-15,22200427,1610612746,1610612756,95,378,714,364,21,52,111,463,778,281,27,53,0
2022-12-14,22200414,1610612766,1610612765,134,412,793,333,21,52,141,516,0.75,0.45,25,52,0
2022-12-14,22200415,1610612754,1610612744,125,506,0.84,0.41,30,34,119,465,862,424,27,46,1
2022-12-14,22200416,1610612753,1610612737,135,505,833,444,28,46,124,0.5,889,343,30,39,1
2022-12-14,22200417,1610612761,1610612758,123,0.5,852,286,25,39,124,484,0.85,0.37,29,50,0
2022-12-14,22200418,1610612741,1610612752,120,548,864,321,25,31,128,495,0.8,529,25,48,0
