TEAM_ID,2003_HOME_WINS,2004_HOME_WINS,2005_HOME_WINS,2006_HOME_WINS,2007_HOME_WINS,2008_HOME_WINS,2009_HOME_WINS,2010_HOME_WINS,2011_HOME_WINS,2012_HOME_WINS,2013_HOME_WINS,2014_HOME_WINS,2015_HOME_WINS,2016_HOME_WINS,2017_HOME_WINS,2018_HOME_WINS,2019_HOME_WINS,2020_HOME_WINS,2021_HOME_WINS,2022_HOME_WINS,2003_AWAY_WINS,2004_AWAY_WINS,2005_AWAY_WINS,2006_AWAY_WINS,2007_AWAY_WINS,2008_AWAY_WINS,2009_AWAY_WINS,2010_AWAY_WINS,2011_AWAY_WINS,2012_AWAY_WINS,2013_AWAY_WINS,2014_AWAY_WINS,2015_AWAY_WINS,2016_AWAY_WINS,2017_AWAY_WINS,2018_AWAY_WINS,2019_AWAY_WINS,2020_AWAY_WINS,2021_AWAY_WINS,2022_AWAY_WINS,2003_TOTAL_WINS,2004_TOTAL_WINS,2005_TOTAL_WINS,2006_TOTAL_WINS,2007_TOTAL_WINS,2008_TOTAL_WINS,2009_TOTAL_WINS,2010_TOTAL_WINS,2011_TOTAL_WINS,2012_TOTAL_WINS,2013_TOTAL_WINS,2014_TOTAL_WINS,2015_TOTAL_WINS,2016_TOTAL_WINS,2017_TOTAL_WINS,2018_TOTAL_WINS,2019_TOTAL_WINS,2020_TOTAL_WINS,2021_TOTAL_WINS,2022_TOTAL_WINS
1610612738,8,20,32,18,25,54,36,40,25,41,29,19,25,31,45,33,34,19,33,24,12,14,18,16,19,36,34,33,15,24,15,9,26,26,31,25,26,20,21,24,20,34,50,34,44,90,70,73,40,65,44,28,51,57,76,58,60,39,54,48
1610612744,10,26,22,27,29,27,23,23,21,22,35,33,53,52,47,40,29,3,44,26,8,10,20,11,24,15,9,10,5,25,20,32,38,41,38,31,28,8,25,16,18,36,42,38,53,42,32,33,26,47,55,65,91,93,85,71,57,11,69,42
1610612748,10,38,43,40,23,17,31,30,28,54,50,34,29,27,29,29,28,23,34,24,7,22,24,25,16,9,16,29,24,29,40,27,16,24,24,17,22,15,32,17,17,60,67,65,39,26,47,59,52,83,90,61,45,51,53,46,50,38,66,41
1610612742,15,33,37,47,42,32,40,34,26,33,28,32,25,21,26,22,19,12,31,27,7,23,36,32,28,23,23,29,24,17,23,29,22,15,14,7,20,17,34,17,22,56,73,79,70,55,63,63,50,50,51,61,47,36,40,29,39,29,65,44
1610612756,9,23,35,41,36,33,34,35,15,31,20,24,25,14,15,9,14,15,51,21,8,22,36,27,37,24,18,24,12,16,17,27,12,11,14,8,11,13,41,23,17,45,71,68,73,57,52,59,27,47,37,51,37,25,29,17,25,28,92,44
1610612749,10,24,27,28,20,19,25,30,17,25,16,15,27,26,27,34,41,19,48,18,9,13,13,16,6,12,9,22,8,23,14,13,14,13,21,22,39,18,37,16,19,37,40,44,26,31,34,52,25,48,30,28,41,39,48,56,80,37,85,34
1610612755,8,22,30,19,24,24,24,18,20,36,22,5,15,12,20,43,36,21,39,22,10,12,19,14,19,21,20,15,13,24,8,11,4,5,19,22,25,8,34,16,18,34,49,33,43,45,44,33,33,60,30,16,19,17,39,65,61,29,73,38
1610612763,10,32,29,28,17,19,20,25,27,42,32,36,36,30,22,21,18,14,34,21,9,18,26,13,10,7,12,21,13,23,29,29,25,20,16,9,11,13,32,18,19,50,55,41,27,26,32,46,40,65,61,65,61,50,38,30,29,27,66,39
1610612750,8,41,27,25,15,18,14,17,7,25,22,20,13,18,26,31,17,6,23,18,16,25,19,12,9,12,14,5,4,19,14,15,12,15,19,12,15,6,17,15,24,66,46,37,24,30,28,22,11,44,36,35,25,33,45,43,32,12,40,33
1610612761,10,18,18,24,34,24,25,24,9,24,23,40,27,42,34,40,42,17,25,17,10,11,16,14,21,16,14,15,3,14,20,27,23,29,26,29,30,25,19,18,20,29,34,38,55,40,39,39,12,38,43,67,50,71,60,69,72,42,44,35
1610612740,11,19,18,25,27,42,32,26,18,15,24,26,26,25,20,31,13,13,25,14,15,7,12,15,23,27,15,17,15,15,17,15,16,10,19,21,19,16,17,13,26,26,30,40,50,69,47,43,33,30,41,41,42,35,39,52,32,29,42,27
1610612762,14,22,19,30,37,43,36,37,12,36,27,19,25,28,32,27,35,15,52,16,7,15,12,23,22,23,17,32,7,19,12,12,19,22,21,31,19,18,33,9,21,37,31,53,59,66,53,69,19,55,39,31,44,50,53,58,54,33,85,25
1610612751,9,30,30,34,28,20,17,13,13,21,25,35,20,16,15,17,24,15,44,11,12,19,24,19,23,18,6,7,3,19,26,22,16,5,13,17,20,12,34,11,21,49,54,53,51,38,23,20,16,40,51,57,36,21,28,34,44,27,78,22
1610612741,5,16,30,36,30,26,34,31,30,42,29,31,38,25,25,15,12,8,30,15,7,8,25,20,21,14,15,23,25,28,25,32,18,18,18,11,15,6,26,9,12,24,55,56,51,40,49,54,55,70,54,63,56,43,43,26,27,14,56,24
1610612743,13,29,33,28,29,35,44,39,23,31,39,25,17,21,27,33,41,21,34,16,12,15,24,23,23,24,22,19,14,28,19,12,16,18,21,20,24,16,34,16,25,44,57,51,52,59,66,58,37,59,58,37,33,39,48,53,65,37,68,32
1610612737,5,16,13,19,27,33,35,38,19,37,28,29,39,29,24,17,14,13,37,21,9,8,5,14,16,18,21,21,14,24,18,21,31,24,16,10,12,7,30,9,14,24,18,33,43,51,56,59,33,61,46,50,70,53,40,27,26,20,67,30
1610612739,8,26,34,35,33,42,44,35,7,15,22,25,41,48,34,29,14,9,21,15,8,17,14,22,27,25,35,20,6,14,9,20,30,31,30,19,7,5,20,9,16,43,48,57,60,67,79,55,13,29,31,45,71,79,64,48,21,14,41,24
1610612746,10,18,29,36,20,11,21,19,17,44,34,41,33,34,30,27,28,19,42,13,5,11,16,20,20,13,9,7,8,29,25,25,32,25,20,23,25,19,30,11,15,29,45,56,40,24,30,26,25,73,59,66,65,59,50,50,53,38,72,24
1610612766,0,8,16,18,26,19,28,31,15,9,20,26,28,32,22,28,18,5,26,13,0,1,8,9,11,13,10,16,10,6,12,16,19,24,10,17,17,9,25,11,0,9,24,27,37,32,38,47,25,15,32,42,47,56,32,45,35,14,51,24
1610612745,10,28,24,25,29,39,39,26,18,35,34,36,38,29,35,41,36,21,16,4,9,16,31,23,24,29,24,16,12,19,23,27,24,27,29,33,28,12,11,6,19,44,55,48,53,68,63,42,30,54,57,63,62,56,64,74,64,33,27,10
1610612752,8,27,16,22,20,15,23,21,17,34,27,19,17,23,23,9,9,10,35,10,9,17,11,11,10,15,13,16,11,25,23,17,13,14,10,14,9,8,26,10,17,44,27,33,30,30,36,37,28,59,50,36,30,37,33,23,18,18,61,20
1610612753,3,19,25,31,25,37,44,42,22,28,13,17,24,20,18,21,25,10,13,10,7,11,12,17,24,28,34,32,15,21,7,12,12,13,11,9,19,17,12,5,10,30,37,48,49,65,78,74,37,49,20,29,36,33,29,30,44,27,25,15
1610612757,15,19,18,17,29,27,38,29,25,30,25,38,28,34,25,36,31,16,31,6,4,21,8,9,12,20,23,22,12,13,23,25,15,18,24,19,24,10,24,8,19,40,26,26,41,47,61,51,37,43,48,63,43,52,49,55,55,26,55,14
1610612759,14,39,47,39,46,38,32,38,24,46,43,43,44,37,44,34,30,11,22,9,11,30,28,32,29,29,25,28,15,39,32,31,24,39,26,13,16,11,26,11,25,69,75,71,75,67,57,66,39,85,75,74,68,76,70,47,46,22,48,20
1610612765,11,40,49,45,40,41,21,20,14,29,18,17,27,25,29,24,25,4,19,10,10,28,33,28,33,29,14,10,7,10,17,11,18,19,15,13,15,6,9,8,21,68,82,73,73,70,35,30,21,39,35,28,45,44,44,37,40,10,28,18
1610612764,5,22,32,32,25,21,15,19,12,14,27,31,26,30,37,24,17,12,30,12,8,11,17,21,17,17,12,8,3,13,14,30,21,17,27,17,13,4,24,5,13,33,49,53,42,38,27,27,15,27,41,61,47,47,64,41,30,16,54,17
1610612747,15,40,24,41,25,50,53,43,24,37,30,14,12,19,17,29,22,28,32,10,6,24,16,16,19,32,34,32,17,21,17,13,7,6,10,19,23,23,28,5,21,64,40,57,44,82,87,75,41,58,47,27,19,25,27,48,45,51,60,15
1610612754,13,38,31,30,23,23,28,28,18,37,43,34,30,31,28,32,32,16,23,5,15,28,24,18,15,12,10,12,9,30,27,22,19,18,19,27,16,15,24,6,28,66,55,48,38,35,38,40,27,67,70,56,49,49,47,59,48,31,47,11
1610612760,8,26,30,25,16,11,23,34,27,52,37,36,38,37,31,30,28,15,19,4,13,19,22,14,12,5,16,26,21,31,32,26,18,29,18,26,18,20,16,7,21,45,52,39,28,16,39,60,48,83,69,62,56,66,49,56,46,35,35,11
1610612758,17,35,29,33,21,25,17,13,9,27,19,20,20,18,17,18,21,15,25,7,9,25,19,19,13,11,8,7,11,10,13,13,13,19,14,17,13,12,22,8,26,60,48,52,34,36,25,20,20,37,32,33,33,37,31,35,34,27,47,15
