GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022-04-10,22101216,1610612751,1610612754,134,0.642,0.88,0.364,30,50,126,0.452,0.684,0.413,32,30,1
2022-04-10,22101217,1610612766,1610612764,124,0.539,0.714,0.545,34,48,108,0.447,0.615,0.348,25,43,1
2022-04-10,22101218,1610612739,1610612749,133,0.543,0.706,0.5,39,48,115,0.443,0.781,0.4,27,41,1
2022-04-10,22101221,1610612745,1610612737,114,0.461,0.75,0.37,24,34,130,0.517,0.792,0.553,29,50,0
2022-04-10,22101223,1610612763,1610612738,110,0.382,0.63,0.319,27,45,139,0.545,1.0,0.375,34,56,0
2022-04-10,22101226,1610612752,1610612761,105,0.46,0.833,0.349,32,48,94,0.391,0.909,0.286,27,43,1
2022-04-10,22101227,1610612753,1610612748,125,0.495,0.857,0.397,33,48,111,0.426,0.75,0.38,20,47,1
2022-04-10,22101228,1610612755,1610612765,118,0.523,0.913,0.2,25,42,106,0.458,0.655,0.324,26,42,1
2022-04-10,22101224,1610612750,1610612741,120,0.505,0.773,0.355,30,32,124,0.53,0.788,0.476,22,48,0
2022-04-10,22101219,1610612742,1610612759,130,0.541,0.783,0.556,34,43,120,0.483,1.0,0.355,26,35,1
2022-04-10,22101220,1610612743,1610612747,141,0.49,0.778,0.319,33,45,146,0.468,0.894,0.372,26,50,0
2022-04-10,22101222,1610612746,1610612760,138,0.557,0.857,0.514,34,57,88,0.378,0.556,0.265,17,40,1
2022-04-10,22101225,1610612740,1610612744,107,0.424,0.75,0.35,24,42,128,0.605,0.846,0.576,33,41,0
2022-04-10,22101229,1610612756,1610612758,109,0.408,0.733,0.298,27,50,116,0.526,0.733,0.538,26,40,0
2022-04-10,22101230,1610612757,1610612762,80,0.373,0.75,0.265,21,32,111,0.451,0.737,0.25,23,60,0
2022-04-09,22101214,1610612755,1610612754,133,0.556,0.778,0.353,37,42,120,0.526,0.778,0.435,28,31,1
2022-04-09,22101213,1610612763,1610612740,141,0.589,0.739,0.514,41,48,114,0.451,0.743,0.2,23,29,1
2022-04-09,22101215,1610612759,1610612744,94,0.4,0.741,0.323,19,41,100,0.407,0.788,0.25,23,51,0
2022-04-09,22101212,1610612746,1610612758,117,0.488,0.8,0.488,29,48,98,0.442,0.625,0.25,24,42,1
2022-04-08,22101203,1610612765,1610612749,101,0.389,0.913,0.208,27,43,131,0.495,0.87,0.297,29,51,0
2022-04-08,22101204,1610612764,1610612752,92,0.507,0.765,0.321,21,37,114,0.466,0.8,0.41,27,42,0
2022-04-08,22101205,1610612751,1610612739,118,0.467,0.952,0.375,30,45,107,0.488,0.792,0.296,19,31,1
2022-04-08,22101206,1610612761,1610612745,117,0.458,0.957,0.241,20,41,115,0.531,0.792,0.345,24,41,1
2022-04-08,22101207,1610612748,1610612737,113,0.556,0.786,0.423,20,33,109,0.477,0.895,0.235,17,43,1
2022-04-08,22101208,1610612741,1610612766,117,0.537,0.8,0.542,25,31,133,0.605,1.0,0.475,34,38,0
2022-04-08,22101209,1610612742,1610612757,128,0.532,0.774,0.444,25,51,78,0.373,0.75,0.219,20,29,1
2022-04-08,22101210,1610612762,1610612756,105,0.398,0.727,0.289,20,44,111,0.5,0.867,0.316,27,46,0
2022-04-08,22101211,1610612747,1610612760,120,0.5,0.744,0.29,23,45,101,0.455,0.789,0.207,21,44,1
2022-04-07,22101196,1610612766,1610612753,128,0.522,0.741,0.353,29,56,101,0.4,0.769,0.313,27,43,1
2022-04-07,22101197,1610612761,1610612755,119,0.495,0.778,0.455,22,41,114,0.493,0.84,0.528,26,37,1
2022-04-07,22101198,1610612749,1610612738,127,0.505,0.714,0.368,27,48,121,0.494,0.737,0.42,30,44,1
2022-04-07,22101199,1610612750,1610612759,127,0.427,0.806,0.377,25,47,121,0.483,0.735,0.357,31,45,1
2022-04-07,22101200,1610612740,1610612757,127,0.473,0.839,0.351,31,49,94,0.522,0.846,0.355,28,27,1
2022-04-07,22101201,1610612743,1610612763,122,0.55,0.88,0.4,27,43,109,0.472,0.737,0.393,30,34,1
2022-04-07,22101202,1610612744,1610612747,128,0.526,1.0,0.5,39,45,112,0.446,0.763,0.281,14,42,1
2022-04-06,22101190,1610612765,1610612742,113,0.427,0.914,0.367,26,42,131,0.563,0.765,0.455,28,41,0
2022-04-06,22101191,1610612752,1610612751,98,0.386,0.583,0.342,22,42,110,0.441,0.778,0.341,28,49,0
