GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022-06-16,42100406,1610612738,1610612744,90,0.425,0.917,0.393,27,41,103,0.413,1.0,0.413,27,44,0
2022-06-13,42100405,1610612744,1610612738,104,0.466,0.867,0.225,23,39,94,0.413,0.677,0.344,18,47,1
2022-06-10,42100404,1610612738,1610612744,97,0.4,0.737,0.395,22,42,107,0.44,0.8,0.349,20,55,0
2022-06-08,42100403,1610612738,1610612744,116,0.483,0.708,0.371,28,47,100,0.462,0.867,0.375,22,31,1
2022-06-05,42100402,1610612744,1610612738,107,0.453,0.7,0.405,25,42,88,0.375,0.765,0.405,24,43,1
2022-06-02,42100401,1610612744,1610612738,108,0.443,0.733,0.422,24,39,120,0.506,0.813,0.512,33,39,0
2022-05-29,42100307,1610612748,1610612738,96,0.42,0.667,0.2,16,44,100,0.412,0.792,0.344,22,51,0
2022-05-27,42100306,1610612738,1610612748,103,0.444,0.903,0.333,22,34,111,0.462,0.96,0.429,25,37,0
2022-05-26,42100315,1610612744,1610612742,120,0.511,1.0,0.389,36,51,110,0.451,0.76,0.405,22,34,1
2022-05-25,42100305,1610612748,1610612738,80,0.319,0.929,0.156,14,49,93,0.465,0.739,0.303,24,46,0
2022-05-24,42100314,1610612742,1610612744,119,0.5,0.773,0.465,30,45,109,0.488,0.654,0.357,26,42,1
2022-05-23,42100304,1610612738,1610612748,102,0.397,0.842,0.235,21,60,82,0.333,0.571,0.389,22,39,1
2022-05-22,42100313,1610612742,1610612744,100,0.4,0.794,0.289,18,33,109,0.469,0.88,0.344,28,47,0
2022-05-21,42100303,1610612738,1610612748,103,0.486,0.767,0.375,21,44,109,0.467,0.857,0.333,22,34,0
2022-05-20,42100312,1610612744,1610612742,126,0.561,0.8,0.5,33,43,117,0.474,0.759,0.467,22,30,1
2022-05-19,42100302,1610612748,1610612738,102,0.442,0.727,0.294,21,42,127,0.512,0.913,0.5,28,41,0
2022-05-18,42100311,1610612744,1610612742,112,0.561,0.625,0.345,24,51,87,0.36,0.667,0.229,14,35,1
2022-05-17,42100301,1610612748,1610612738,118,0.488,0.882,0.333,18,39,107,0.456,0.75,0.324,22,38,1
2022-05-15,42100217,1610612738,1610612749,109,0.42,0.722,0.4,29,48,81,0.367,0.688,0.121,20,56,1
2022-05-15,42100227,1610612756,1610612742,90,0.379,0.667,0.353,22,39,123,0.568,1.0,0.487,14,43,0
2022-05-13,42100216,1610612749,1610612738,95,0.409,0.889,0.241,15,49,108,0.437,0.652,0.395,22,42,0
2022-05-13,42100236,1610612744,1610612763,110,0.394,0.727,0.377,24,70,96,0.354,0.65,0.417,21,44,1
2022-05-12,42100206,1610612755,1610612748,90,0.414,0.857,0.324,21,35,99,0.483,0.727,0.25,19,49,0
