GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2009-06-14,40800405,Final,1610612753,1610612747,2008,1610612753,86.0,0.415,0.625,0.296,20.0,36.0,1610612747,99.0,0.4379999999999999,0.75,0.5,13.0,47.0,0
2009-06-11,40800404,Final,1610612753,1610612747,2008,1610612753,91.0,0.419,0.595,0.3329999999999999,17.0,41.0,1610612747,99.0,0.418,0.75,0.348,15.0,39.0,0
2009-06-09,40800403,Final,1610612753,1610612747,2008,1610612753,108.0,0.625,0.767,0.357,23.0,29.0,1610612747,104.0,0.513,0.615,0.348,16.0,27.0,1
2009-06-07,40800402,Final,1610612747,1610612753,2008,1610612747,101.0,0.462,0.857,0.3329999999999999,20.0,35.0,1610612753,96.0,0.418,0.741,0.3329999999999999,22.0,44.0,1
2009-06-04,40800401,Final,1610612747,1610612753,2008,1610612747,100.0,0.461,0.833,0.3329999999999999,18.0,55.0,1610612753,75.0,0.299,0.7240000000000001,0.348,10.0,41.0,1
2009-05-30,40800306,Final,1610612753,1610612739,2008,1610612753,103.0,0.4629999999999999,0.81,0.414,19.0,47.0,1610612739,90.0,0.4429999999999999,0.5,0.45,17.0,34.0,1
2009-05-29,40800316,Final,1610612743,1610612747,2008,1610612743,92.0,0.4379999999999999,0.8,0.421,14.0,27.0,1610612747,119.0,0.573,1.0,0.563,28.0,38.0,0
2009-05-28,40800305,Final,1610612739,1610612753,2008,1610612739,112.0,0.5,0.794,0.5,21.0,39.0,1610612753,102.0,0.4579999999999999,0.6829999999999999,0.32,12.0,38.0,1
2009-05-27,40800315,Final,1610612747,1610612743,2008,1610612747,103.0,0.487,0.743,0.188,25.0,42.0,1610612743,94.0,0.386,0.767,0.292,17.0,43.0,1
2009-05-26,40800304,Final,1610612753,1610612739,2008,1610612753,116.0,0.5,0.7040000000000001,0.447,21.0,38.0,1610612739,114.0,0.4479999999999999,0.833,0.273,17.0,40.0,1
2009-05-25,40800314,Final,1610612743,1610612747,2008,1610612743,120.0,0.442,0.755,0.292,23.0,58.0,1610612747,101.0,0.415,0.6859999999999999,0.29,19.0,40.0,1
2009-05-24,40800303,Final,1610612753,1610612739,2008,1610612753,99.0,0.429,0.765,0.353,16.0,40.0,1610612739,89.0,0.3720000000000001,0.743,0.192,17.0,42.0,1
2009-05-23,40800313,Final,1610612743,1610612747,2008,1610612743,97.0,0.3929999999999999,0.8390000000000001,0.185,21.0,43.0,1610612747,103.0,0.4579999999999999,0.6890000000000001,0.316,15.0,43.0,0
2009-05-22,40800302,Final,1610612739,1610612753,2008,1610612739,96.0,0.455,0.8079999999999999,0.263,17.0,38.0,1610612753,95.0,0.479,0.68,0.435,16.0,30.0,1
2009-05-21,40800312,Final,1610612747,1610612743,2008,1610612747,103.0,0.455,0.7709999999999999,0.4,21.0,43.0,1610612743,106.0,0.4429999999999999,0.784,0.3329999999999999,20.0,42.0,0
2009-05-20,40800301,Final,1610612739,1610612753,2008,1610612739,106.0,0.489,0.706,0.32,23.0,33.0,1610612753,107.0,0.551,0.857,0.45,32.0,36.0,0
2009-05-19,40800311,Final,1610612747,1610612743,2008,1610612747,105.0,0.411,0.833,0.44,25.0,46.0,1610612743,103.0,0.486,0.657,0.421,24.0,37.0,1
2009-05-17,40800227,Final,1610612747,1610612745,2008,1610612747,89.0,0.467,0.778,0.3329999999999999,16.0,55.0,1610612745,70.0,0.368,0.643,0.25,17.0,33.0,1
2009-05-17,40800217,Final,1610612738,1610612753,2008,1610612738,82.0,0.392,0.8,0.25,21.0,37.0,1610612753,101.0,0.514,0.8,0.619,26.0,35.0,0
2009-05-14,40800226,Final,1610612745,1610612747,2008,1610612745,95.0,0.507,0.727,0.389,19.0,39.0,1610612747,80.0,0.357,0.75,0.217,11.0,45.0,1
2009-05-14,40800216,Final,1610612753,1610612738,2008,1610612753,83.0,0.366,0.5479999999999999,0.231,13.0,42.0,1610612738,75.0,0.416,0.615,0.1669999999999999,18.0,48.0,1
2009-05-13,40800235,Final,1610612743,1610612742,2008,1610612743,124.0,0.585,0.773,0.423,31.0,38.0,1610612742,110.0,0.514,0.759,0.353,23.0,30.0,1
2009-05-12,40800225,Final,1610612747,1610612745,2008,1610612747,118.0,0.512,0.778,0.462,20.0,49.0,1610612745,78.0,0.326,0.938,0.172,15.0,42.0,1
2009-05-12,40800215,Final,1610612738,1610612753,2008,1610612738,92.0,0.423,1.0,0.313,23.0,42.0,1610612753,88.0,0.45,0.833,0.25,23.0,39.0,1
2009-05-11,40800234,Final,1610612742,1610612743,2008,1610612742,119.0,0.506,0.8370000000000001,0.214,17.0,50.0,1610612743,117.0,0.481,0.727,0.429,16.0,34.0,1
2009-05-11,40800204,Final,1610612737,1610612739,2008,1610612737,74.0,0.315,0.867,0.154,13.0,33.0,1610612739,84.0,0.429,0.5379999999999999,0.556,22.0,48.0,0
2009-05-10,40800224,Final,1610612745,1610612747,2008,1610612745,99.0,0.45,0.85,0.345,18.0,43.0,1610612747,87.0,0.447,0.611,0.444,14.0,37.0,1
2009-05-10,40800214,Final,1610612753,1610612738,2008,1610612753,94.0,0.4,0.75,0.185,20.0,38.0,1610612738,95.0,0.528,0.667,0.1,16.0,44.0,0
2009-05-09,40800233,Final,1610612742,1610612743,2008,1610612742,105.0,0.4,0.816,0.3329999999999999,15.0,46.0,1610612743,106.0,0.42,0.8,0.4,15.0,41.0,0
2009-05-09,40800203,Final,1610612737,1610612739,2008,1610612737,82.0,0.447,0.636,0.389,19.0,23.0,1610612739,97.0,0.507,0.7240000000000001,0.273,15.0,46.0,0
2009-05-08,40800223,Final,1610612745,1610612747,2008,1610612745,94.0,0.417,0.72,0.316,16.0,56.0,1610612747,108.0,0.439,0.758,0.55,17.0,43.0,0
2009-05-08,40800213,Final,1610612753,1610612738,2008,1610612753,117.0,0.591,0.833,0.5,16.0,36.0,1610612738,96.0,0.43,0.885,0.278,24.0,29.0,1
2009-05-07,40800202,Final,1610612739,1610612737,2008,1610612739,105.0,0.535,0.767,0.316,19.0,43.0,1610612737,85.0,0.349,0.792,0.444,17.0,34.0,1
2009-05-06,40800222,Final,1610612747,1610612745,2008,1610612747,111.0,0.5,0.731,0.353,23.0,40.0,1610612745,98.0,0.4589999999999999,0.7240000000000001,0.375,16.0,39.0,1
2009-05-06,40800212,Final,1610612738,1610612753,2008,1610612738,112.0,0.512,0.84,0.45,34.0,41.0,1610612753,94.0,0.4429999999999999,0.649,0.421,19.0,34.0,1
2009-05-05,40800232,Final,1610612743,1610612742,2008,1610612743,117.0,0.5,0.775,0.286,28.0,42.0,1610612742,105.0,0.474,0.767,0.348,23.0,37.0,1
2009-05-05,40800201,Final,1610612739,1610612737,2008,1610612739,99.0,0.4679999999999999,0.708,0.4,16.0,41.0,1610612737,72.0,0.4379999999999999,0.5,0.389,19.0,33.0,1
2009-05-04,40800221,Final,1610612747,1610612745,2008,1610612747,92.0,0.4429999999999999,0.632,0.111,18.0,39.0,1610612745,100.0,0.479,0.862,0.278,16.0,35.0,0
2009-05-04,40800211,Final,1610612738,1610612753,2008,1610612738,90.0,0.385,0.846,0.348,23.0,47.0,1610612753,95.0,0.4320000000000001,0.762,0.3329999999999999,20.0,40.0,0
2009-05-03,40800137,Final,1610612737,1610612748,2008,1610612737,91.0,0.408,0.88,0.478,18.0,30.0,1610612748,78.0,0.413,0.88,0.211,12.0,39.0,1
2009-05-03,40800231,Final,1610612743,1610612742,2008,1610612743,109.0,0.5479999999999999,0.6940000000000001,0.3329999999999999,28.0,30.0,1610612742,95.0,0.488,0.6920000000000001,0.3329999999999999,17.0,37.0,1
2009-05-02,40800117,Final,1610612738,1610612741,2008,1610612738,109.0,0.449,0.769,0.529,25.0,45.0,1610612741,99.0,0.39,0.889,0.292,17.0,40.0,1
2009-05-01,40800136,Final,1610612748,1610612737,2008,1610612748,98.0,0.473,0.875,0.3329999999999999,12.0,47.0,1610612737,72.0,0.37,0.611,0.3329999999999999,8.0,36.0,1
2009-04-30,40800116,Final,1610612741,1610612738,2008,1610612741,128.0,0.495,0.75,0.529,27.0,46.0,1610612738,127.0,0.434,0.8,0.355,29.0,49.0,1
2009-04-30,40800126,Final,1610612755,1610612753,2008,1610612755,89.0,0.408,0.8,0.35,17.0,36.0,1610612753,114.0,0.537,0.7,0.462,31.0,41.0,0
2009-04-30,40800176,Final,1610612745,1610612757,2008,1610612745,92.0,0.462,0.7859999999999999,0.375,14.0,41.0,1610612757,76.0,0.423,0.75,0.364,14.0,42.0,1
2009-04-29,40800135,Final,1610612737,1610612748,2008,1610612737,106.0,0.486,0.805,0.263,23.0,37.0,1610612748,91.0,0.477,0.7809999999999999,0.3329999999999999,17.0,29.0,1
2009-04-29,40800155,Final,1610612743,1610612740,2008,1610612743,107.0,0.514,0.852,0.435,26.0,39.0,1610612740,86.0,0.382,0.833,0.15,16.0,35.0,1
2009-04-28,40800115,Final,1610612738,1610612741,2008,1610612738,106.0,0.488,0.667,0.375,24.0,44.0,1610612741,104.0,0.4,0.8440000000000001,0.391,18.0,50.0,1
2009-04-28,40800125,Final,1610612753,1610612755,2008,1610612753,91.0,0.434,0.708,0.348,14.0,45.0,1610612755,78.0,0.426,0.8,0.222,17.0,33.0,1
2009-04-28,40800165,Final,1610612759,1610612742,2008,1610612759,93.0,0.52,0.632,0.188,19.0,33.0,1610612742,106.0,0.514,0.8,0.5,20.0,40.0,0
2009-04-28,40800175,Final,1610612757,1610612745,2008,1610612757,88.0,0.4579999999999999,0.696,0.429,14.0,37.0,1610612745,77.0,0.452,0.8,0.2,17.0,36.0,1
2009-04-27,40800134,Final,1610612748,1610612737,2008,1610612748,71.0,0.377,0.75,0.25,11.0,33.0,1610612737,81.0,0.424,0.769,0.357,15.0,40.0,0
2009-04-27,40800154,Final,1610612740,1610612743,2008,1610612740,63.0,0.315,0.8440000000000001,0.133,10.0,32.0,1610612743,121.0,0.5660000000000001,0.833,0.5,29.0,41.0,0
2009-04-27,40800145,Final,1610612747,1610612762,2008,1610612747,107.0,0.45,0.743,0.429,23.0,50.0,1610612762,96.0,0.402,0.741,0.3329999999999999,24.0,43.0,1
2009-04-26,40800114,Final,1610612741,1610612738,2008,1610612741,121.0,0.484,0.743,0.417,23.0,49.0,1610612738,118.0,0.421,0.875,0.435,19.0,47.0,1
2009-04-26,40800104,Final,1610612765,1610612739,2008,1610612765,78.0,0.397,0.833,0.1,17.0,30.0,1610612739,99.0,0.473,0.958,0.462,19.0,41.0,0
2009-04-26,40800124,Final,1610612755,1610612753,2008,1610612755,81.0,0.3879999999999999,0.733,0.421,19.0,43.0,1610612753,84.0,0.471,0.6,0.3,13.0,37.0,0
2009-04-26,40800174,Final,1610612745,1610612757,2008,1610612745,89.0,0.3979999999999999,0.636,0.563,24.0,43.0,1610612757,88.0,0.457,1.0,0.467,18.0,41.0,1
2009-04-25,40800153,Final,1610612740,1610612743,2008,1610612740,95.0,0.435,0.8,0.35,16.0,40.0,1610612743,93.0,0.405,0.6859999999999999,0.429,19.0,44.0,1
2009-04-25,40800164,Final,1610612742,1610612759,2008,1610612742,99.0,0.384,0.846,0.4,15.0,49.0,1610612759,90.0,0.4429999999999999,0.647,0.261,14.0,35.0,1
2009-04-25,40800133,Final,1610612748,1610612737,2008,1610612748,107.0,0.469,1.0,0.522,18.0,48.0,1610612737,78.0,0.3670000000000001,0.789,0.3329999999999999,13.0,35.0,1
2009-04-25,40800144,Final,1610612762,1610612747,2008,1610612762,94.0,0.442,0.688,0.4,27.0,39.0,1610612747,108.0,0.519,0.7140000000000001,0.421,19.0,46.0,0
2009-04-24,40800103,Final,1610612765,1610612739,2008,1610612765,68.0,0.38,0.833,0.3329999999999999,17.0,39.0,1610612739,79.0,0.412,0.633,0.182,20.0,42.0,0
2009-04-24,40800123,Final,1610612755,1610612753,2008,1610612755,96.0,0.521,0.6920000000000001,0.4,16.0,35.0,1610612753,94.0,0.425,0.828,0.4,18.0,35.0,1
