GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2013-04-20,41200111,Final,1610612752,1610612738,2012,1610612752,85.0,0.405,0.8,0.36,13.0,40.0,1610612738,78.0,0.415,1.0,0.25,18.0,40.0,1
2013-04-20,41200161,Final,1610612743,1610612744,2012,1610612743,97.0,0.447,0.643,0.188,16.0,45.0,1610612744,95.0,0.413,0.733,0.364,27.0,55.0,1
2013-04-20,41200131,Final,1610612751,1610612741,2012,1610612751,106.0,0.5579999999999999,0.8240000000000001,0.429,18.0,39.0,1610612741,89.0,0.474,0.682,0.25,15.0,35.0,1
2013-04-20,41200171,Final,1610612746,1610612763,2012,1610612746,112.0,0.5539999999999999,0.742,0.368,20.0,47.0,1610612763,91.0,0.465,0.8,0.417,22.0,23.0,1
2013-04-17,21201216,Final,1610612761,1610612738,2012,1610612761,114.0,0.5,0.7859999999999999,0.5710000000000001,26.0,46.0,1610612738,90.0,0.44,0.6920000000000001,0.412,19.0,38.0,1
2013-04-17,21201217,Final,1610612751,1610612765,2012,1610612751,103.0,0.481,0.7390000000000001,0.3329999999999999,28.0,38.0,1610612765,99.0,0.474,0.75,0.077,17.0,39.0,1
2013-04-17,21201218,Final,1610612752,1610612737,2012,1610612752,98.0,0.429,0.688,0.375,21.0,50.0,1610612737,92.0,0.411,0.941,0.095,14.0,53.0,1
2013-04-17,21201219,Final,1610612766,1610612739,2012,1610612766,105.0,0.507,0.767,0.4,28.0,40.0,1610612739,98.0,0.488,0.667,0.348,24.0,35.0,1
2013-04-17,21201220,Final,1610612748,1610612753,2012,1610612748,105.0,0.5379999999999999,0.474,0.414,31.0,34.0,1610612753,93.0,0.519,0.44,0.143,23.0,41.0,1
2013-04-17,21201221,Final,1610612754,1610612755,2012,1610612754,95.0,0.45,0.63,0.231,17.0,42.0,1610612755,105.0,0.506,0.7859999999999999,0.421,16.0,42.0,0
2013-04-17,21201222,Final,1610612741,1610612764,2012,1610612741,95.0,0.474,0.737,0.389,26.0,45.0,1610612764,92.0,0.424,0.765,0.4379999999999999,17.0,37.0,1
2013-04-17,21201223,Final,1610612763,1610612762,2012,1610612763,86.0,0.405,0.7,0.308,22.0,57.0,1610612762,70.0,0.321,0.654,0.273,15.0,47.0,1
2013-04-17,21201224,Final,1610612742,1610612740,2012,1610612742,99.0,0.512,0.818,0.375,24.0,37.0,1610612740,87.0,0.369,0.75,0.364,11.0,58.0,1
2013-04-17,21201225,Final,1610612759,1610612750,2012,1610612759,95.0,0.418,1.0,0.389,20.0,40.0,1610612750,108.0,0.462,0.75,0.414,26.0,45.0,0
2013-04-17,21201226,Final,1610612760,1610612749,2012,1610612760,89.0,0.416,0.857,0.143,16.0,44.0,1610612749,95.0,0.424,0.722,0.37,18.0,53.0,0
2013-04-17,21201227,Final,1610612743,1610612756,2012,1610612743,118.0,0.527,0.8,0.25,28.0,54.0,1610612756,98.0,0.385,0.647,0.28,29.0,47.0,1
2013-04-17,21201228,Final,1610612747,1610612745,2012,1610612747,99.0,0.3670000000000001,0.6759999999999999,0.313,27.0,57.0,1610612745,95.0,0.417,0.708,0.242,21.0,46.0,1
2013-04-17,21201229,Final,1610612758,1610612746,2012,1610612758,108.0,0.449,0.76,0.346,23.0,44.0,1610612746,112.0,0.5,0.667,0.5,25.0,44.0,0
2013-04-17,21201230,Final,1610612757,1610612744,2012,1610612757,88.0,0.4270000000000001,0.857,0.5,18.0,42.0,1610612744,99.0,0.43,0.769,0.429,21.0,52.0,0
2013-04-16,21201213,Final,1610612737,1610612761,2012,1610612737,96.0,0.3979999999999999,0.7390000000000001,0.321,22.0,42.0,1610612761,113.0,0.513,0.852,0.37,24.0,47.0,0
2013-04-16,21201215,Final,1610612746,1610612757,2012,1610612746,93.0,0.4679999999999999,0.8,0.259,30.0,51.0,1610612757,77.0,0.411,0.667,0.3329999999999999,18.0,33.0,1
2013-04-15,21201202,Final,1610612766,1610612752,2012,1610612766,106.0,0.581,0.929,0.389,35.0,37.0,1610612752,95.0,0.43,1.0,0.3779999999999999,27.0,25.0,1
2013-04-15,21201203,Final,1610612753,1610612741,2012,1610612753,84.0,0.419,0.606,0.2,16.0,39.0,1610612741,102.0,0.56,0.6920000000000001,0.529,33.0,35.0,0
2013-04-15,21201204,Final,1610612739,1610612748,2012,1610612739,95.0,0.4529999999999999,0.632,0.385,20.0,38.0,1610612748,96.0,0.5,0.63,0.4639999999999999,25.0,45.0,0
2013-04-15,21201205,Final,1610612751,1610612764,2012,1610612751,106.0,0.467,0.481,0.467,12.0,45.0,1610612764,101.0,0.532,0.75,0.364,24.0,44.0,1
2013-04-15,21201206,Final,1610612765,1610612755,2012,1610612765,109.0,0.494,0.818,0.36,23.0,43.0,1610612755,101.0,0.4479999999999999,0.81,0.273,25.0,39.0,1
