GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-07-20,42000406,Final,1610612749,1610612756,2020,1610612749,105.0,0.451,0.862,0.222,20.0,53.0,1610612756,98.0,0.442,0.842,0.24,14.0,37.0,1
2021-07-17,42000405,Final,1610612756,1610612749,2020,1610612756,119.0,0.552,0.909,0.684,23.0,35.0,1610612749,123.0,0.575,0.529,0.5,26.0,37.0,0
2021-07-14,42000404,Final,1610612749,1610612756,2020,1610612749,109.0,0.402,0.828,0.241,22.0,48.0,1610612756,103.0,0.513,0.842,0.304,18.0,40.0,1
2021-07-11,42000403,Final,1610612749,1610612756,2020,1610612749,120.0,0.478,0.769,0.389,28.0,47.0,1610612756,100.0,0.482,0.688,0.29,21.0,36.0,1
2021-07-08,42000402,Final,1610612756,1610612749,2020,1610612756,118.0,0.489,0.857,0.5,26.0,43.0,1610612749,108.0,0.452,0.652,0.29,21.0,46.0,1
2021-07-06,42000401,Final,1610612756,1610612749,2020,1610612756,118.0,0.466,0.962,0.324,18.0,43.0,1610612749,105.0,0.455,0.563,0.444,21.0,47.0,1
2021-07-03,42000306,Final,1610612737,1610612749,2020,1610612737,107.0,0.413,0.826,0.375,22.0,43.0,1610612749,118.0,0.461,0.905,0.378,24.0,46.0,0
2021-07-01,42000305,Final,1610612749,1610612737,2020,1610612749,123.0,0.505,0.72,0.31,28.0,47.0,1610612737,112.0,0.456,0.789,0.395,24.0,40.0,1
2021-06-30,42000316,Final,1610612746,1610612756,2020,1610612746,103.0,0.418,0.781,0.308,18.0,32.0,1610612756,130.0,0.564,0.636,0.548,27.0,47.0,0
2021-06-29,42000304,Final,1610612737,1610612749,2020,1610612737,110.0,0.506,0.846,0.342,26.0,43.0,1610612749,88.0,0.393,0.737,0.205,19.0,43.0,1
2021-06-28,42000315,Final,1610612756,1610612746,2020,1610612756,102.0,0.452,0.85,0.346,22.0,41.0,1610612746,116.0,0.548,0.933,0.333,20.0,40.0,0
2021-06-27,42000303,Final,1610612737,1610612749,2020,1610612737,102.0,0.464,0.563,0.405,20.0,35.0,1610612749,113.0,0.511,0.571,0.379,27.0,50.0,0
2021-06-26,42000314,Final,1610612746,1610612756,2020,1610612746,80.0,0.325,0.656,0.161,13.0,51.0,1610612756,84.0,0.36,0.857,0.2,16.0,59.0,0
2021-06-25,42000302,Final,1610612749,1610612737,2020,1610612749,125.0,0.521,0.625,0.366,29.0,47.0,1610612737,91.0,0.415,0.824,0.25,13.0,34.0,1
2021-06-24,42000313,Final,1610612746,1610612756,2020,1610612746,106.0,0.451,0.833,0.353,20.0,51.0,1610612756,92.0,0.389,0.923,0.313,24.0,43.0,1
2021-06-23,42000301,Final,1610612749,1610612737,2020,1610612749,113.0,0.461,0.786,0.222,27.0,45.0,1610612737,116.0,0.495,0.875,0.25,19.0,51.0,0
2021-06-22,42000312,Final,1610612756,1610612746,2020,1610612756,104.0,0.5,0.889,0.231,24.0,39.0,1610612746,103.0,0.45,0.75,0.382,18.0,39.0,1
2021-06-20,42000311,Final,1610612756,1610612746,2020,1610612756,120.0,0.551,1.0,0.406,31.0,43.0,1610612746,114.0,0.455,0.824,0.426,23.0,39.0,1
2021-06-20,42000207,Final,1610612755,1610612737,2020,1610612755,96.0,0.425,0.76,0.321,26.0,48.0,1610612737,103.0,0.444,0.75,0.259,22.0,44.0,0
2021-06-19,42000217,Final,1610612751,1610612749,2020,1610612751,111.0,0.464,0.84,0.308,23.0,46.0,1610612749,115.0,0.439,0.667,0.417,20.0,48.0,0
2021-06-18,42000206,Final,1610612737,1610612755,2020,1610612737,99.0,0.413,0.542,0.323,19.0,47.0,1610612755,104.0,0.409,0.696,0.414,15.0,51.0,0
2021-06-18,42000226,Final,1610612746,1610612762,2020,1610612746,131.0,0.565,0.882,0.513,27.0,33.0,1610612762,119.0,0.488,0.737,0.477,19.0,43.0,1
2021-06-17,42000216,Final,1610612749,1610612751,2020,1610612749,104.0,0.451,0.821,0.212,14.0,51.0,1610612751,89.0,0.444,0.571,0.3,14.0,39.0,1
2021-06-16,42000205,Final,1610612755,1610612737,2020,1610612755,106.0,0.467,0.605,0.433,20.0,44.0,1610612737,109.0,0.459,0.786,0.346,14.0,40.0,0
2021-06-16,42000225,Final,1610612762,1610612746,2020,1610612762,111.0,0.45,0.704,0.37,15.0,36.0,1610612746,119.0,0.513,0.84,0.4,17.0,39.0,0
2021-06-15,42000215,Final,1610612751,1610612749,2020,1610612751,114.0,0.494,0.88,0.372,27.0,36.0,1610612749,108.0,0.494,0.765,0.406,18.0,35.0,1
2021-06-14,42000204,Final,1610612737,1610612755,2020,1610612737,103.0,0.366,0.81,0.3,24.0,49.0,1610612755,100.0,0.435,0.714,0.407,23.0,55.0,1
2021-06-14,42000224,Final,1610612746,1610612762,2020,1610612746,118.0,0.468,0.816,0.405,19.0,44.0,1610612762,104.0,0.429,0.808,0.405,19.0,39.0,1
2021-06-13,42000214,Final,1610612749,1610612751,2020,1610612749,107.0,0.443,0.65,0.34,27.0,42.0,1610612751,96.0,0.434,0.778,0.303,20.0,43.0,1
2021-06-13,42000234,Final,1610612743,1610612756,2020,1610612743,118.0,0.459,0.667,0.378,22.0,37.0,1610612756,125.0,0.518,0.935,0.364,18.0,48.0,0
2021-06-12,42000223,Final,1610612746,1610612762,2020,1610612746,132.0,0.562,0.813,0.528,21.0,41.0,1610612762,106.0,0.429,0.882,0.432,15.0,38.0,1
2021-06-11,42000203,Final,1610612737,1610612755,2020,1610612737,111.0,0.476,0.844,0.261,15.0,36.0,1610612755,127.0,0.582,0.641,0.476,28.0,36.0,0
2021-06-11,42000233,Final,1610612743,1610612756,2020,1610612743,102.0,0.411,0.625,0.341,21.0,46.0,1610612756,116.0,0.531,0.9,0.462,26.0,38.0,0
2021-06-10,42000213,Final,1610612749,1610612751,2020,1610612749,86.0,0.378,0.632,0.194,12.0,56.0,1610612751,83.0,0.362,0.875,0.25,15.0,50.0,1
2021-06-10,42000222,Final,1610612762,1610612746,2020,1610612762,117.0,0.553,0.619,0.513,15.0,36.0,1610612746,111.0,0.471,0.87,0.367,19.0,37.0,1
2021-06-09,42000232,Final,1610612756,1610612743,2020,1610612756,123.0,0.479,0.882,0.474,27.0,52.0,1610612743,98.0,0.4,0.6,0.326,24.0,46.0,1
2021-06-08,42000202,Final,1610612755,1610612737,2020,1610612755,118.0,0.529,0.636,0.462,29.0,37.0,1610612737,102.0,0.458,0.833,0.367,20.0,45.0,1
2021-06-08,42000221,Final,1610612762,1610612746,2020,1610612762,112.0,0.407,0.808,0.34,18.0,46.0,1610612746,109.0,0.424,0.875,0.381,22.0,42.0,1
2021-06-07,42000212,Final,1610612751,1610612749,2020,1610612751,125.0,0.521,0.857,0.5,27.0,42.0,1610612749,86.0,0.44,0.444,0.296,14.0,44.0,1
2021-06-07,42000231,Final,1610612756,1610612743,2020,1610612756,122.0,0.541,0.85,0.382,30.0,44.0,1610612743,105.0,0.467,0.833,0.35,26.0,41.0,1
2021-06-06,42000201,Final,1610612755,1610612737,2020,1610612755,124.0,0.549,0.686,0.345,25.0,41.0,1610612737,128.0,0.512,0.952,0.426,23.0,35.0,0
2021-06-06,42000177,Final,1610612746,1610612742,2020,1610612746,126.0,0.5,1.0,0.465,30.0,35.0,1610612742,111.0,0.495,0.647,0.278,22.0,47.0,1
2021-06-05,42000211,Final,1610612751,1610612749,2020,1610612751,115.0,0.469,0.889,0.385,25.0,47.0,1610612749,107.0,0.446,0.579,0.2,21.0,58.0,1
2021-06-04,42000176,Final,1610612742,1610612746,2020,1610612742,97.0,0.416,0.857,0.324,23.0,42.0,1610612746,104.0,0.468,0.786,0.294,18.0,42.0,0
2021-06-03,42000166,Final,1610612757,1610612743,2020,1610612757,115.0,0.506,0.909,0.417,24.0,37.0,1610612743,126.0,0.512,0.852,0.441,28.0,39.0,0
